,G1,G2,G3,F1,F2,F3,F4,Total Score
1,Riquna Williams,Jewell Loyd,Kayla McBride,Brianna Turner,Breanna Stewart,Theresa Plaisance,Aerial Powers,235.74999809000002
2,Katie Lou Samuelson,Jewell Loyd,Kayla McBride,Brianna Turner,Breanna Stewart,Theresa Plaisance,Aerial Powers,234.44999885000001
3,Jewell Loyd,Kayla McBride,Natasha Cloud,Ezi Magbegor,Breanna Stewart,Theresa Plaisance,Aerial Powers,234.39999771
4,Jewell Loyd,Kayla McBride,Betnijah Laney,Ezi Magbegor,Breanna Stewart,Theresa Plaisance,Aerial Powers,233.69999885000001
5,Jackie Young,Jewell Loyd,Kayla McBride,Breanna Stewart,Candice Dupree,Theresa Plaisance,Aerial Powers,233.29999923000003
6,Jewell Loyd,Kayla McBride,Natasha Cloud,Brianna Turner,Breanna Stewart,Erica McCall,Theresa Plaisance,233.24999619
7,Crystal Dangerfield,Jewell Loyd,Kayla McBride,Ezi Magbegor,Brianna Turner,Breanna Stewart,Theresa Plaisance,233.04999733
8,Jewell Loyd,Diana Taurasi,Kayla McBride,Breanna Stewart,Erica McCall,Theresa Plaisance,Aerial Powers,232.69999885000001
9,Jewell Loyd,Kayla McBride,Natasha Cloud,Kylee Shook,Breanna Stewart,Theresa Plaisance,Aerial Powers,232.09999847
10,Jewell Loyd,Kayla McBride,Natasha Cloud,Breanna Stewart,Erica McCall,Theresa Plaisance,Aerial Powers,231.89999771
11,Crystal Dangerfield,Jewell Loyd,Kayla McBride,Ezi Magbegor,Breanna Stewart,Theresa Plaisance,Aerial Powers,231.69999885000001
12,Jewell Loyd,Kayla McBride,Skylar Diggins-Smith,Ezi Magbegor,Breanna Stewart,Theresa Plaisance,Aerial Powers,231.64999771
13,Jewell Loyd,Kayla McBride,Betnijah Laney,Breanna Stewart,Erica McCall,Theresa Plaisance,Aerial Powers,231.19999885000001
14,Crystal Dangerfield,Jewell Loyd,Kayla McBride,Megan Walker,Breanna Stewart,Sylvia Fowles,Theresa Plaisance,230.59999942
15,Crystal Dangerfield,Jewell Loyd,Kayla McBride,Brianna Turner,Breanna Stewart,Erica McCall,Theresa Plaisance,230.54999733
