Player ID + Player Name,Id,Position_new,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59367-80582:Brandon Woodruff,59367-80582,P,Brandon,Brandon Woodruff,Woodruff,42.22222222,9,10700,SD@MIL,MIL,SD,,,,Yes,1,P,P,20
59367-11354:Lance Lynn,59367-11354,P,Lance,Lance Lynn,Lynn,39.28571429,7,10000,STL@CWS,CWS,STL,,,,Yes,1,P,P,10
59367-68488:Blake Snell,59367-68488,P,Blake,Blake Snell,Snell,28.88888889,9,9300,SD@MIL,SD,MIL,,,,Yes,1,P,P,18
59367-97300:John Means,59367-97300,P,John,John Means,Means,40.77777778,9,9100,BAL@MIN,BAL,MIN,,,,Yes,1,P,P,18
59367-102001:Yusei Kikuchi,59367-102001,P,Yusei,Yusei Kikuchi,Kikuchi,33.375,8,8900,SEA@OAK,SEA,OAK,,,,Yes,1,P,P,5
59367-68518:Spencer Turnbull,59367-68518,P,Spencer,Spencer Turnbull,Turnbull,32.16666667,6,8600,CLE@DET,DET,CLE,,,,Yes,1,P,P,5
59367-63781:Frankie Montas,59367-63781,P,Frankie,Frankie Montas,Montas,27.88888889,9,8400,SEA@OAK,OAK,SEA,,,,Yes,1,P,P,5
59367-82618:David Peterson,59367-82618,P,David,David Peterson,Peterson,25.875,8,8000,COL@NYM,NYM,COL,,,,Yes,1,P,P,5
59367-118411:Kwang Hyun Kim,59367-118411,P,Kwang Hyun,Kwang Hyun Kim,Kim,23.66666667,6,7500,STL@CWS,STL,CWS,,,,Yes,1,P,P,5
59367-83098:Austin Gomber,59367-83098,P,Austin,Austin Gomber,Gomber,23.4,10,7000,COL@NYM,COL,NYM,,,,Yes,1,P,P,5
59367-17164:Matt Shoemaker,59367-17164,P,Matt,Matt Shoemaker,Shoemaker,16.75,8,6000,BAL@MIN,MIN,BAL,,,,Yes,1,P,P,5
59367-101814:Sam Hentges,59367-101814,P,Sam,Sam Hentges,Hentges,10.66666667,6,5600,CLE@DET,CLE,DET,,,,Yes,1,P,P,5
59367-79393:Fernando Tatis Jr.,59367-79393,SS,Fernando,Fernando Tatis Jr.,Tatis Jr.,17.63333333,30,4400,SD@MIL,SD,MIL,,,,,1,SS/UTIL,SS,13
59367-53401:Trey Mancini,59367-53401,OF,Trey,Trey Mancini,Mancini,12.23695705,46,4200,BAL@MIN,BAL,MIN,,,,,1,OF/UTIL,OF,13
59367-13719:Nolan Arenado,59367-13719,3B,Nolan,Nolan Arenado,Arenado,11.54347826,46,4100,STL@CWS,STL,CWS,,,,,1,3B/UTIL,3B,14
59367-38976:Jose Ramirez,59367-38976,3B,Jose,Jose Ramirez,Ramirez,12.64090937,44,4000,CLE@DET,CLE,DET,,,,,1,3B/UTIL,3B,14
59367-39086:Byron Buxton,59367-39086,OF,Byron,Byron Buxton,Buxton,15.88749949,24,4000,BAL@MIN,MIN,BAL,IL,Hip,,,,OF/UTIL,OF,11
59367-21609:Christian Yelich,59367-21609,OF,Christian,Christian Yelich,Yelich,10.06666667,15,3700,SD@MIL,MIL,SD,,,,,1,OF/UTIL,OF,10
59367-49523:Jose Abreu,59367-49523,1B,Jose,Jose Abreu,Abreu,11.73414649,41,3700,STL@CWS,CWS,STL,,,,,1,C/1B/UTIL,C/1B,12
59367-52158:Trevor Story,59367-52158,SS,Trevor,Trevor Story,Story,10.60217418,46,3700,COL@NYM,COL,NYM,,,,,1,SS/UTIL,SS,8
59367-83155:Ramon Laureano,59367-83155,OF,Ramon,Ramon Laureano,Laureano,12.02499945,44,3600,SEA@OAK,OAK,SEA,,,,,1,OF/UTIL,OF,14
59367-73159:Mitch Haniger,59367-73159,OF,Mitch,Mitch Haniger,Haniger,12.22000054,45,3500,SEA@OAK,SEA,OAK,,,,,1,OF/UTIL,OF,16
59367-5763:Nelson Cruz,59367-5763,OF,Nelson,Nelson Cruz,Cruz,10.50731678,41,3500,BAL@MIN,MIN,BAL,DTD,Wrist,,,1,OF/UTIL,OF,11
59367-60672:Tim Anderson,59367-60672,SS,Tim,Tim Anderson,Anderson,11.33999983,35,3400,STL@CWS,CWS,STL,,,,,1,SS/UTIL,SS,12
59367-79175:Trent Grisham,59367-79175,OF,Trent,Trent Grisham,Grisham,11.90555573,36,3400,SD@MIL,SD,MIL,DTD,Heel,,,1,OF/UTIL,OF,12
59367-21666:Mark Canha,59367-21666,OF,Mark,Mark Canha,Canha,11.92173966,46,3300,SEA@OAK,OAK,SEA,DTD,Elbow,,,1,OF/UTIL,OF,14
59367-82614:Pete Alonso,59367-82614,1B,Pete,Pete Alonso,Alonso,9.963889228,36,3300,COL@NYM,NYM,COL,IL,Hand,,,,C/1B/UTIL,C/1B,9
