entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,,Instructions,,,,,,,,,,,,,,,,,
2492884308,59505-246633670,$5K Wed MLB Wiffle Ball (150 Entries Max),59505-52183,59505-13858,59505-13412,59505-68585,59505-37982,59505-54068,59505-80847,59505-53033,59505-5607,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
,,,,,,,,,,,,,59505-16959:Trevor Bauer,59505-16959,P,Trevor,Trevor Bauer,Bauer,26.55,10,11500,LAD@HOU,LAD,HOU,,,,Yes,,P
,,,,,,,,,,,,,59505-52183:Tyler Glasnow,59505-52183,P,Tyler,Tyler Glasnow,Glasnow,25.65,10,10700,KC@TB,TB,KC,,,,Yes,,P
,,,,,,,,,,,,,59505-65987:Domingo German,59505-65987,P,Domingo,Domingo German,German,18.775,8,9300,TOR@NYY,NYY,TOR,,,,Yes,,P
,,,,,,,,,,,,,59505-73880:German Marquez,59505-73880,P,German,German Marquez,Marquez,15.67,10,8800,COL@NYM,COL,NYM,,,,Yes,,P
,,,,,,,,,,,,,59505-39041:Marcus Stroman,59505-39041,P,Marcus,Marcus Stroman,Stroman,20,9,8500,COL@NYM,NYM,COL,,,,Yes,,P
,,,,,,,,,,,,,59505-17087:Drew Smyly,59505-17087,P,Drew,Drew Smyly,Smyly,12.5625,8,8000,ATL@BOS,ATL,BOS,,,,Yes,,P
,,,,,,,,,,,,,59505-79951:Nick Pivetta,59505-79951,P,Nick,Nick Pivetta,Pivetta,15.26666667,9,7800,ATL@BOS,BOS,ATL,,,,Yes,,P
,,,,,,,,,,,,,59505-79226:Eric Lauer,59505-79226,P,Eric,Eric Lauer,Lauer,12.925,4,7800,SD@MIL,MIL,SD,,,,Yes,,P
,,,,,,,,,,,,,59505-135212:Luis Garcia,59505-135212,P,Luis,Luis Garcia,Garcia,13.6,9,7700,LAD@HOU,HOU,LAD,,,,Yes,,P
,,,,,,,,,,,,,59505-79224:Chris Paddack,59505-79224,P,Chris,Chris Paddack,Paddack,12.06666667,9,7500,SD@MIL,SD,MIL,,,,Yes,,P
,,,,,,,,,,,,,59505-5498:Johnny Cueto,59505-5498,P,Johnny,Johnny Cueto,Cueto,14.05,6,7300,SF@ARI,SF,ARI,,,,Yes,,P
,,,,,,,,,,,,,59505-12481:Mike Minor,59505-12481,P,Mike,Mike Minor,Minor,14.33333333,9,7200,KC@TB,KC,TB,,,,Yes,,P
,,,,,,,,,,,,,59505-101881:Merrill Kelly,59505-101881,P,Merrill,Merrill Kelly,Kelly,13.36666667,9,6800,SF@ARI,ARI,SF,,,,Yes,,P
,,,,,,,,,,,,,59505-60656:Jeff Hoffman,59505-60656,P,Jeff,Jeff Hoffman,Hoffman,11.53,10,6400,CIN@WSH,CIN,WSH,,,,Yes,,P
,,,,,,,,,,,,,59505-79118:Triston McKenzie,59505-79118,P,Triston,Triston McKenzie,McKenzie,12.1,8,6400,CLE@DET,CLE,DET,,,,Yes,,P
,,,,,,,,,,,,,59505-52873:Joe Ross,59505-52873,P,Joe,Joe Ross,Ross,11.9125,8,6200,CIN@WSH,WSH,CIN,,,,Yes,,P
,,,,,,,,,,,,,59505-53608:Jose Urena,59505-53608,P,Jose,Jose Urena,Urena,12.7,9,6000,CLE@DET,DET,CLE,,,,Yes,,P
