,Id,Nickname,FPPG,Salary,Injury Indicator,Batting Order,Position,Mscore,Score
0,59436-52859,Jacob deGrom,57.33333333,12000,nan,1.0,P,30.0,1289.9999999249999
1,59436-5481,Max Scherzer,44.33333333,11000,nan,1.0,P,30.0,997.4999999249999
2,59436-38000,Kevin Gausman,44.77777778,10800,nan,1.0,P,20.0,671.6666667
3,59436-79246,Jack Flaherty,39.55555556,10500,nan,1.0,P,29.0,860.33333343
4,59436-82604,Corbin Burnes,47.14285714,10200,nan,1.0,P,25.0,883.9285713749999
5,59436-5427,Clayton Kershaw,30.41666667,10000,nan,1.0,P,25.0,570.3125000625
6,59436-82557,Aaron Civale,34.55555556,8800,nan,1.0,P,20.0,518.3333334
7,59436-52198,Lucas Giolito,31.77777778,8500,nan,1.0,P,20.0,476.66666669999995
8,59436-68523,Joe Musgrove,25.78571429,8400,nan,1.0,P,28.0,541.5000000900001
9,59436-13019,Garrett Richards,27.77777778,8300,nan,1.0,P,20.0,416.66666669999995
10,59436-5983,Rich Hill,27.11111111,8200,nan,1.0,P,22.0,447.333333315
11,59436-13627,Corey Kluber,32.11111111,8100,nan,1.0,P,28.0,674.3333333100002
12,59436-60639,Jose Berrios,31.77777778,8000,nan,1.0,P,25.0,595.8333333749999
13,59436-5522,Zack Greinke,29.6,7700,nan,1.0,P,28.0,621.6000000000001
14,59436-52167,Andrew Heaney,27.0,7600,nan,1.0,P,20.0,405.0
15,59436-79109,Tyler Mahle,28.22222222,7500,nan,1.0,P,29.0,613.833333285
16,59436-52174,Steven Matz,29.0,7300,nan,1.0,P,20.0,435.0
17,59436-85269,Cole Irvin,28.11111111,7200,nan,1.0,P,20.0,421.66666665
18,59436-5466,Charlie Morton,27.33333333,7000,nan,1.0,P,20.0,409.99999994999996
19,59436-79072,Brad Keller,17.44444444,6900,nan,1.0,P,20.0,261.66666660000004
20,59436-119340,Tarik Skubal,19.0,6600,nan,1.0,P,20.0,285.0
22,59436-102447,Dean Kremer,16.25,6200,nan,1.0,P,15.0,182.8125
23,59436-147155,Hyeon-Jong Yang,17.0,6000,nan,1.0,P,20.0,255.0
24,59436-102396,Logan Gilbert,10.0,5800,nan,1.0,P,20.0,150.0
25,59436-102334,Corbin Martin,24.0,5500,nan,1.0,P,20.0,360.0
26,59436-79756,Ronald Acuna Jr.,14.83488429,4500,nan,1.0,OF,14.0,155.76628504500002
27,59436-79393,Fernando Tatis Jr.,17.16129032,4400,nan,1.0,SS,11.0,141.58064514
28,59436-79273,Vladimir Guerrero Jr.,15.06304401,4300,nan,1.0,C/1B,13.0,146.86467909750002
29,59436-53401,Trey Mancini,12.10851012,4200,nan,1.0,C/1B,10.0,90.81382590000001
30,59436-13540,J.D. Martinez,13.97999946,4200,nan,1.0,OF,15.0,157.274993925
31,59436-38976,Jose Ramirez,12.42666694,4100,nan,1.0,3B,14.0,130.48000287
32,59436-82440,Shohei Ohtani,13.30217444,4100,nan,1.0,OF,12.0,119.71956996
34,59436-39151,Mookie Betts,12.02631579,4000,DTD,1.0,OF,10.0,90.19736842500001
35,59436-11334,Freddie Freeman,11.92391304,4000,nan,1.0,C/1B,14.0,125.20108692
36,59436-79282,Juan Soto,10.36969734,4000,nan,1.0,OF,12.0,93.32727606
37,59436-65881,Trea Turner,12.47209274,3900,nan,1.0,SS,12.0,112.24883466
38,59436-52176,Max Muncy,12.62000054,3900,nan,1.0,2B,10.0,94.65000404999999
39,59436-52180,Austin Meadows,11.35227273,3900,nan,1.0,OF,11.0,93.6562500225
40,59436-52187,Ji-Man Choi,16.04999924,3900,DTD,1.0,C/1B,11.0,132.41249373
41,59436-13342,Nick Castellanos,14.50243843,3900,nan,1.0,OF,10.0,108.768288225
42,59436-21609,Christian Yelich,10.06666667,3900,nan,1.0,OF,13.0,98.1500000325
43,59436-21705,Marcus Semien,13.24347853,3900,nan,1.0,2B,13.0,129.1239156675
44,59436-6292,Buster Posey,12.6299998,3800,nan,1.0,C/1B,13.0,123.14249805
45,59436-82654,Bo Bichette,12.39347773,3800,nan,1.0,SS,13.0,120.83640786750001
46,59436-68585,Rafael Devers,13.56666667,3800,nan,1.0,3B,15.0,152.6250000375
47,59436-85261,Randy Arozarena,12.09111057,3800,nan,1.0,OF,11.0,99.7516622025
48,59436-38872,Jesse Winker,14.610256099999999,3800,nan,1.0,OF,10.0,109.57692074999999
49,59436-104483,Jared Walsh,11.6,3700,nan,1.0,C/1B,12.0,104.39999999999999
50,59436-14562,Jose Altuve,11.41944461,3700,nan,1.0,2B,12.0,102.77500149
51,59436-83155,Ramon Laureano,11.89111057,3700,nan,1.0,OF,14.0,124.85666098499999
52,59436-60631,Kyle Schwarber,10.90555573,3700,nan,1.0,OF,12.0,98.15000156999999
53,59436-60643,Aaron Judge,11.58636336,3700,nan,1.0,OF,13.0,112.96704276
54,59436-13719,Nolan Arenado,11.29787234,3700,nan,1.0,3B,10.0,84.73404255
55,59436-16951,Anthony Rendon,8.638461773,3600,nan,1.0,3B,12.0,77.746155957
56,59436-52175,Matt Olson,11.67907005,3600,nan,1.0,C/1B,14.0,122.630235525
57,59436-37982,Xander Bogaerts,12.78666721,3600,nan,1.0,SS,15.0,143.8500061125
58,59436-21853,Ketel Marte,11.01818154,3600,nan,1.0,OF,10.0,82.63636155
59,59436-73871,Carson Kelly,12.34642901,3500,nan,1.0,C/1B,10.0,92.59821757499999
64,59436-21666,Mark Canha,12.1936165,3500,nan,1.0,OF,14.0,128.03297325
67,59436-73159,Mitch Haniger,12.29565164,3500,nan,1.0,OF,11.0,101.43912603
68,59436-85504,Brandon Lowe,9.746666802,3500,nan,1.0,OF,11.0,80.4100011165
69,59436-5763,Nelson Cruz,10.32857114,3500,DTD,1.0,OF,10.0,77.46428354999999
70,59436-38561,Chris Taylor,12.28333391,3500,nan,1.0,OF,10.0,92.125004325
71,59436-68522,Alex Bregman,11.15500031,3400,nan,1.0,3B,12.0,100.39500279
72,59436-85520,Adolis Garcia,13.75897373,3400,nan,1.0,OF,11.0,113.51153327249999
73,59436-12310,Carlos Santana,11.87333306,3300,nan,1.0,C/1B,12.0,106.85999754
74,59436-73832,Joey Wendle,10.74222209,3300,nan,1.0,2B,11.0,88.62333224250001
75,59436-52158,Trevor Story,10.44042579,3300,nan,1.0,SS,9.0,70.47287408250001
76,59436-73023,Teoscar Hernandez,12.83666687,3300,nan,1.0,OF,13.0,125.1575019825
77,59436-82575,Yordan Alvarez,11.70769246,3200,nan,1.0,OF,12.0,105.36923214
78,59436-53994,Josh Bell,9.236363266,3200,nan,1.0,C/1B,12.0,83.127269394
79,59436-13239,Eduardo Escobar,10.69574494,3200,nan,1.0,2B,10.0,80.21808705000001
80,59436-60672,Tim Anderson,11.38611094,3200,nan,1.0,SS,12.0,102.47499846
81,59436-6312,Justin Turner,10.40681804,3100,nan,1.0,3B,10.0,78.0511353
82,59436-13771,Josh Harrison,9.882352941,3100,nan,1.0,2B,12.0,88.941176469
83,59436-79401,Will Smith,10.3324321,3100,nan,1.0,C/1B,10.0,77.49324075000001
84,59436-53033,Mike Yastrzemski,9.764864535,3100,nan,1.0,OF,13.0,95.20742921624999
85,59436-71507,Yuli Gurriel,11.92000054,3100,nan,1.0,C/1B,12.0,107.28000485999999
86,59436-79884,Anthony Santander,8.755000305,3000,nan,1.0,OF,10.0,65.66250228749999
88,59436-81953,Austin Hays,10.41562462,3000,DTD,1.0,OF,10.0,78.11718465
89,59436-6197,Justin Upton,8.389743903,3000,nan,1.0,OF,12.0,75.50769512699999
91,59436-12961,Brandon Crawford,11.51750031,3000,nan,1.0,SS,13.0,112.2956280225
92,59436-12968,Paul Goldschmidt,10.00444472,3000,nan,1.0,C/1B,10.0,75.0333354
94,59436-17086,Marcell Ozuna,8.653191749,3000,nan,1.0,OF,14.0,90.85851336449998
95,59436-70562,Whit Merrifield,11.25777791,3000,nan,1.0,OF,12.0,101.32000119
96,59436-68544,Matt Chapman,8.053061349,3000,nan,1.0,3B,14.0,84.5571441645
99,59436-13303,Yasmani Grandal,10.30909128,3000,nan,1.0,C/1B,12.0,92.78182152000001
100,59436-79074,Austin Riley,10.42340413,3000,nan,1.0,3B,14.0,109.445743365
101,59436-13567,DJ LeMahieu,9.222726995,3000,nan,1.0,2B,13.0,89.92158820125
103,59436-13854,Robbie Grossman,11.093478,3000,nan,1.0,OF,10.0,83.201085
104,59436-13966,Kyle Seager,9.762500127000001,3000,nan,1.0,3B,11.0,80.54062604775001
105,59436-38614,Carlos Correa,9.768889025,3000,nan,1.0,SS,12.0,87.920001225
106,59436-102284,William Contreras,10.73529412,3000,nan,1.0,C/1B,14.0,112.72058826000001
107,59436-61553,Yoan Moncada,10.06590895,2900,nan,1.0,3B,12.0,90.59318055
108,59436-53586,David Peralta,10.07111138,2900,nan,1.0,OF,10.0,75.53333535
109,59436-12985,Avisail Garcia,10.16976716,2900,nan,1.0,OF,13.0,99.15522981
110,59436-13229,Charlie Blackmon,8.111363498,2900,nan,1.0,OF,9.0,54.7517036115
111,59436-68587,Ozzie Albies,11.12888862,2900,nan,1.0,2B,14.0,116.85333051
112,59436-13354,Cesar Hernandez,8.931818182,2900,nan,1.0,2B,14.0,93.784090911
113,59436-21875,Max Kepler,11.28823494,2900,DTD,1.0,OF,10.0,84.66176205
114,59436-38293,Tyler Naquin,10.81500015,2900,nan,1.0,OF,10.0,81.112501125
115,59436-5607,Evan Longoria,8.646341462999999,2900,nan,1.0,3B,13.0,84.30182926424999
116,59436-13929,Manny Machado,10.82325567,2900,DTD,1.0,3B,11.0,89.2918592775
117,59436-6273,Michael Brantley,9.597560976,2800,nan,1.0,OF,12.0,86.378048784
118,59436-16950,Miguel Sano,9.959375381000001,2800,nan,1.0,C/1B,10.0,74.69531535750001
119,59436-82530,Pavin Smith,8.344444444,2800,nan,1.0,OF,10.0,62.58333333
120,59436-12900,Brandon Belt,9.3564101,2800,nan,1.0,C/1B,13.0,91.224998475
121,59436-82624,Sean Murphy,8.034999847,2800,nan,1.0,C/1B,14.0,84.3674983935
122,59436-68514,Ryan McMahon,11.13333384,2800,nan,1.0,2B,9.0,75.15000342
123,59436-13266,Salvador Perez,9.788888888999999,2800,nan,1.0,C/1B,12.0,88.10000000099998
125,59436-21633,Eugenio Suarez,8.763636502,2800,nan,1.0,3B,10.0,65.727273765
127,59436-79125,Kyle Tucker,10.70638324,2800,nan,1.0,OF,12.0,96.35744915999999
128,59436-79160,Alex Verdugo,10.45454545,2800,DTD,1.0,OF,15.0,117.6136363125
129,59436-79165,Gavin Lux,8.318918588999999,2800,nan,1.0,2B,10.0,62.391889417499996
130,59436-79188,Alex Kirilloff,11.27499962,2800,nan,1.0,OF,10.0,84.56249714999998
131,59436-118210,Jake Cronenworth,10.31041654,2800,nan,1.0,2B,11.0,85.060936455
132,59436-71182,Jeimer Candelario,8.817777507,2800,nan,1.0,3B,10.0,66.1333313025
133,59436-38965,C.J. Cron,9.79142892,2700,nan,1.0,C/1B,9.0,66.09214521
