,0,1,2,3,4,5,6,7,8,9
1,2B_59236_6029,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_21666,OF_59236_38293,OF_59236_73023,P_59236_52183,SS_59236_82654,1993.53716104575
2,2B_59236_21853,3B_59236_79151,C_1B_59236_79776,OF_59236_13909,OF_59236_21666,OF_59236_72261,OF_59236_73023,P_59236_52183,SS_59236_82654,1990.733426859
3,2B_59236_21853,3B_59236_79151,C_1B_59236_116450,OF_59236_13909,OF_59236_21666,OF_59236_6197,OF_59236_73023,P_59236_52183,SS_59236_82654,1989.91296905325
4,2B_59236_21853,3B_59236_79151,C_1B_59236_85285,OF_59236_13909,OF_59236_21666,OF_59236_72261,OF_59236_73023,P_59236_52183,SS_59236_82654,1988.8779897615
5,2B_59236_21705,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_21666,OF_59236_38326,OF_59236_73023,P_59236_52183,SS_59236_82654,1988.7460259069999
6,2B_59236_21705,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_13917,OF_59236_21666,OF_59236_73023,P_59236_52183,SS_59236_82654,1987.280314368
7,2B_59236_21853,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_21666,OF_59236_38326,OF_59236_72261,P_59236_52183,SS_59236_82654,1987.111510464
8,2B_59236_21853,3B_59236_79151,C_1B_59236_116450,OF_59236_13909,OF_59236_21666,OF_59236_38252,OF_59236_73023,P_59236_16959,SS_59236_82654,1985.87509128825
9,2B_59236_21853,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_13917,OF_59236_21666,OF_59236_72261,P_59236_52183,SS_59236_82654,1985.645798925
10,2B_59236_21853,3B_59236_79151,C_1B_59236_5181,OF_59236_13909,OF_59236_21666,OF_59236_72261,OF_59236_73023,P_59236_52183,SS_59236_82654,1985.253063834
11,2B_59236_6029,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_38252,OF_59236_73023,OF_59236_82440,P_59236_52183,SS_59236_82654,1984.77213003825
12,2B_59236_21853,3B_59236_79151,C_1B_59236_116450,OF_59236_13854,OF_59236_13909,OF_59236_21666,OF_59236_73023,P_59236_52183,SS_59236_82654,1984.59868592325
13,2B_59236_21853,3B_59236_79151,C_1B_59236_71507,OF_59236_13909,OF_59236_21666,OF_59236_38326,OF_59236_73023,P_59236_52183,SS_59236_82654,1984.4027097645
14,2B_59236_6029,3B_59236_79151,C_1B_59236_79273,OF_59236_13909,OF_59236_21666,OF_59236_73023,OF_59236_84133,P_59236_52183,SS_59236_82654,1984.2380162107502
15,2B_59236_21853,3B_59236_79151,C_1B_59236_13304,OF_59236_13909,OF_59236_21666,OF_59236_72261,OF_59236_73023,P_59236_52183,SS_59236_82654,1984.2260678564999
16,2B_59236_21853,3B_59236_79151,C_1B_59236_116450,OF_59236_13909,OF_59236_21666,OF_59236_73023,OF_59236_79125,P_59236_52183,SS_59236_82654,1984.00842110325
17,2B_59236_6029,3B_59236_79151,C_1B_59236_79174,OF_59236_13909,OF_59236_21666,OF_59236_73023,OF_59236_82440,P_59236_16959,SS_59236_82654,1983.73731081075
18,2B_59236_21853,3B_59236_79151,C_1B_59236_116450,OF_59236_13909,OF_59236_21666,OF_59236_38326,OF_59236_82440,P_59236_52183,SS_59236_82654,1983.4271018182499
19,2B_59236_21705,3B_59236_79151,C_1B_59236_116450,OF_59236_21666,OF_59236_72261,OF_59236_73023,OF_59236_82440,P_59236_52183,SS_59236_82654,1983.32091509775
